node_name,count,mean,std,min,25%,50%,75%,max
0d4840c3,16542.0,119.56206988272277,61.03621754483951,66.67,76.0,77.33,183.33,322.67
21e01022,50978.0,126.76916748401271,77.7720217905585,64.0,68.67,74.67,191.33,320.0
2d2d0311,50981.0,160.94471783605658,87.26522656180326,67.33,75.33,170.67,232.67,327.33
3eb76848,50979.0,201.65585966770632,82.92240272265721,64.0,147.33,217.33,277.33,315.33
4a4cffb4,50980.0,145.1654619458611,89.41888044450302,68.0,76.0,80.67,203.33,349.33
54f5286d,34436.0,194.908166744105,105.25113527586039,68.0,76.67,214.0,304.67,331.33
5c5e400b,50990.0,91.32214100804079,44.78267763687573,66.0,72.0,74.0,77.33,310.0
77d57e28,50982.0,163.7407029932133,91.74578432853514,66.67,74.0,161.33,246.67,324.0
79b5307d,50981.0,178.52037621859125,85.20009476072691,64.0,76.0,186.67,262.0,301.33
a2f271b4,50981.0,94.85793217080872,54.322939895057814,67.33,74.0,76.0,80.0,326.67
b654db47,50978.0,91.45523284554122,41.947624940117876,68.0,72.67,74.67,79.33,306.0
cfc400f1,50978.0,218.82760700694422,90.57649093898979,67.33,154.0,229.33,308.0,337.33
