node_name,count,mean,std,min,25%,50%,75%,max
0ad2c0c4,50446.0,63.03091325377631,4.608074563094124,51.67,60.0,61.67,65.0,107.5
2dbc131e,51010.0,225.1655881199765,130.60635014134516,56.67,85.0,255.0,363.33,388.33
341872a6,51010.0,278.3594652029014,118.35110197208037,60.0,231.67,351.67,370.0,390.0
41721e4b,50446.0,64.30541053800104,5.85694005047409,50.0,60.0,61.67,66.67,111.67
5180b174,51009.0,292.86225136740575,126.16134053334898,51.67,113.33,370.0,370.0,401.67
5333662e,55288.0,220.427649399508,124.02674288129138,50.0,86.67,230.0,355.0,386.67
5ede733f,51010.0,63.25113762007449,5.048762314018372,50.0,60.0,61.67,65.0,125.0
6fdf4d0d,36905.0,186.2891610892833,127.77559622200354,58.33,71.67,90.0,350.0,375.0
8674a4f2,51009.0,257.8586598443412,130.2454536858955,58.33,83.33,333.33,366.67,721.67
8ccd7b3c,50447.0,231.65250797867068,130.350188106951,55.0,83.33,283.33,370.0,385.0
8d5a6c7e,50448.0,125.04556890263243,98.98290544350996,55.0,68.33,96.67,100.0,386.67
a2ffa1e3,51010.0,63.34614879435404,5.701640664076702,46.67,60.0,61.67,65.0,170.0
b9c737a2,51010.0,197.97440011762404,138.82901250729213,56.67,71.67,90.0,360.0,378.33
bce59923,51009.0,255.13965790350724,128.6926256883156,53.33,88.33,325.0,370.0,393.33
bd55f82d,51009.0,64.52413436844478,5.564332570704584,53.33,60.0,61.67,66.67,113.33
c658b44f,51009.0,172.57573290987867,130.70881766158067,48.33,65.0,83.33,336.67,376.67
e5886d85,50448.0,252.72631581033934,130.24327788193978,58.33,88.33,328.33,370.0,396.67
eb5d8f42,36476.0,63.34669097488761,5.112787261286373,50.0,60.0,61.67,65.0,150.0
f006f6ea,51009.0,205.40932482503086,125.51022782504663,58.33,83.33,230.0,348.33,383.33
f301a5e3,16573.0,82.61430941893441,8.266204597738131,51.67,76.67,85.0,90.0,125.0
